time,open,high,low,close,tick_volume,spread,real_volume
2011-05-12 11:00:00,1495.25,1495.9,1486.5,1491.4,1355,50,0
2011-05-12 12:00:00,1491.3,1491.63,1481.7,1485.0,1614,50,0
2011-05-12 13:00:00,1485.1,1486.8,1478.08,1482.3,2026,52,0
2011-05-12 14:00:00,1482.35,1488.6,1478.9,1487.5,1743,50,0
2011-05-12 15:00:00,1487.4,1490.1,1482.5,1488.65,1723,50,0
2011-05-12 16:00:00,1488.65,1500.3,1487.15,1492.8,2447,50,0
2011-05-12 17:00:00,1492.85,1496.47,1487.7,1489.61,2337,50,0
2011-05-12 18:00:00,1489.65,1498.65,1488.78,1493.0,2070,60,0
2011-05-12 19:00:00,1492.9,1498.7,1491.8,1497.5,1547,60,0
2011-05-12 20:00:00,1497.7,1507.75,1497.7,1506.9,1693,50,0
2011-05-12 21:00:00,1507.0,1507.6,1501.7,1501.85,1493,60,0
2011-05-12 22:00:00,1501.83,1503.9,1498.63,1503.4,1101,50,0
2011-05-12 23:00:00,1503.32,1507.1,1503.04,1506.3,446,65,0
2011-05-13 01:00:00,1506.2,1507.15,1505.6,1506.1,304,60,0
2011-05-13 02:00:00,1506.05,1506.2,1503.25,1504.35,506,55,0
2011-05-13 03:00:00,1504.4,1505.4,1503.55,1503.9,622,50,0
2011-05-13 04:00:00,1503.85,1503.91,1500.75,1502.6,945,50,0
2011-05-13 05:00:00,1502.55,1503.5,1502.35,1502.8,529,50,0
2011-05-13 06:00:00,1502.7,1504.6,1502.5,1504.45,529,50,0
2011-05-13 07:00:00,1504.47,1505.28,1502.8,1503.53,724,55,0
2011-05-13 08:00:00,1503.65,1506.78,1501.8,1506.72,1060,67,0
2011-05-13 09:00:00,1506.65,1510.2,1505.88,1509.45,1416,68,0
2011-05-13 10:00:00,1509.3,1516.25,1508.78,1515.6,1279,60,0
2011-05-13 11:00:00,1515.54,1516.3,1512.15,1513.2,1367,55,0
2011-05-13 12:00:00,1513.3,1514.03,1510.08,1513.7,1557,50,0
2011-05-13 13:00:00,1513.65,1514.65,1511.65,1512.58,1050,60,0
2011-05-13 14:00:00,1512.58,1513.2,1506.6,1509.7,1222,50,0
2011-05-13 15:00:00,1509.8,1511.65,1503.6,1508.0,1971,50,0
2011-05-13 16:00:00,1507.85,1507.9,1502.4,1505.4,2075,50,0
